1,"s","gesv","single/sgesv.f"
2,"d","gesv","double/dgesv.f"
3,"c","gesv","complex/cgesv.f"
4,"z","gesv","complex16/zgesv.f"
5,"s","gbsv","single/sgbsv.f"
6,"d","gbsv","double/dgbsv.f"
7,"c","gbsv","complex/cgbsv.f"
8,"z","gbsv","complex16/zgbsv.f"
9,"s","gtsv","single/sgtsv.f"
10,"d","gtsv","double/dgtsv.f"
11,"c","gtsv","complex/cgtsv.f"
12,"z","gtsv","complex16/zgtsv.f"
13,"c","hesv","complex/chesv.f"
14,"z","hesv","complex16/zhesv.f"
15,"c","hpsv","complex/chpsv.f"
16,"z","hpsv","complex16/zhpsv.f"
17,"s","posv","single/sposv.f"
18,"d","posv","double/dposv.f"
19,"c","posv","complex/cposv.f"
20,"z","posv","complex16/zposv.f"
21,"s","pbsv","single/spbsv.f"
22,"d","pbsv","double/dpbsv.f"
23,"c","pbsv","complex/cpbsv.f"
24,"z","pbsv","complex16/zpbsv.f"
25,"s","ppsv","single/sppsv.f"
26,"d","ppsv","double/dppsv.f"
27,"c","ppsv","complex/cppsv.f"
28,"z","ppsv","complex16/zppsv.f"
29,"s","ptsv","single/sptsv.f"
30,"d","ptsv","double/dptsv.f"
31,"c","ptsv","complex/cptsv.f"
32,"z","ptsv","complex16/zptsv.f"
33,"s","sysv","single/ssysv.f"
34,"d","sysv","double/dsysv.f"
35,"c","sysv","complex/csysv.f"
36,"z","sysv","complex16/zsysv.f"
37,"s","spsv","single/sspsv.f"
38,"d","spsv","double/dspsv.f"
39,"c","spsv","complex/cspsv.f"
40,"z","spsv","complex16/zspsv.f"
41,"s","gesvx","single/sgesvx.f"
42,"d","gesvx","double/dgesvx.f"
43,"c","gesvx","complex/cgesvx.f"
44,"z","gesvx","complex16/zgesvx.f"
45,"s","gbsvx","single/sgbsvx.f"
46,"d","gbsvx","double/dgbsvx.f"
47,"c","gbsvx","complex/cgbsvx.f"
48,"z","gbsvx","complex16/zgbsvx.f"
49,"s","gtsvx","single/sgtsvx.f"
50,"d","gtsvx","double/dgtsvx.f"
51,"c","gtsvx","complex/cgtsvx.f"
52,"z","gtsvx","complex16/zgtsvx.f"
53,"c","hesvx","complex/chesvx.f"
54,"z","hesvx","complex16/zhesvx.f"
55,"c","hpsvx","complex/chpsvx.f"
56,"z","hpsvx","complex16/zhpsvx.f"
57,"s","posvx","single/sposvx.f"
58,"d","posvx","double/dposvx.f"
59,"c","posvx","complex/cposvx.f"
60,"z","posvx","complex16/zposvx.f"
61,"s","pbsvx","single/spbsvx.f"
62,"d","pbsvx","double/dpbsvx.f"
